hc,hs,ht,lg,ls,r1,r2,r3,r4,s,wg,ws,xt,Resonant_Freq_GHz,S21_dB
0.035,1.27,0.13,1.125,20,1.375,4.5,5.375,8.04,0,65,65,1.6375,5.5859999656677,-32.724263173925
0.035,1.27,0.13,1.125,20,1.375,4.5,5.75,8.04,0,65,65,1.6375,5.3340001106262,-26.496855970664
0.035,1.27,0.13,1.125,20,1.375,4.5,5.75,8.04,0,65,65,1.6375,5.4180002212524,-36.227662597731
0.035,1.27,0.13,1.125,20,1.375,4.5,5.75,8.04,0,65,65,1.6375,5.4460000991821,-33.524088748817
0.035,1.27,0.13,1.125,20,1.375,4.5,5.75,8.04,0,65,65,1.6375,5.4670000076294,-33.286488258954
0.035,1.27,0.13,1.125,20,1.375,4.5,6.125,8.04,0,65,65,1.6375,5.2360000610352,-21.667493818604
0.035,1.27,0.13,1.125,20,1.375,4.5,6.125,8.04,0,65,65,1.6375,5.313000202179,-25.998083319637
0.035,1.27,0.13,1.125,20,1.375,4.5,6.125,8.04,0,65,65,1.6375,5.3270001411438,-29.294048281026
0.035,1.27,0.13,1.125,20,1.375,4.5,6.125,8.04,0,65,65,1.6375,5.3340001106262,-34.931397744964
0.035,1.27,0.13,1.125,20,1.375,4.5,6.5,8.04,0,65,65,1.6375,5.1170001029968,-15.674418624531
0.035,1.27,0.13,1.125,20,1.375,4.5,6.5,8.04,0,65,65,1.6375,5.1939997673035,-15.180637333806
0.035,1.27,0.13,1.125,20,1.375,4.5,6.5,8.04,0,65,65,1.6375,5.201000213623,-16.307165754173
0.035,1.27,0.13,1.125,20,1.375,4.5,6.5,8.04,0,65,65,1.6375,5.201000213623,-17.623140313797
0.035,1.27,0.13,1.125,20,1.75,3.375,5.375,8.04,0,65,65,1.6375,5.4250001907349,-34.703475285086
0.035,1.27,0.13,1.125,20,1.75,3.375,5.375,8.04,0,65,65,1.6375,5.558000087738,-42.433222982106
0.035,1.27,0.13,1.125,20,1.75,3.375,5.375,8.04,0,65,65,1.6375,5.5789999961853,-38.862286538486
0.035,1.27,0.13,1.125,20,1.75,3.375,5.375,8.04,0,65,65,1.6375,5.6139998435974,-40.506168775107
0.035,1.27,0.13,1.125,20,1.75,3.375,5.75,8.04,0,65,65,1.6375,5.3480000495911,-34.06113478002
0.035,1.27,0.13,1.125,20,1.75,3.375,5.75,8.04,0,65,65,1.6375,5.4460000991821,-42.500272979022
0.035,1.27,0.13,1.125,20,1.75,3.375,5.75,8.04,0,65,65,1.6375,5.460000038147,-39.659535434095
0.035,1.27,0.13,1.125,20,1.75,3.375,5.75,8.04,0,65,65,1.6375,5.4879999160767,-33.75903816318
0.035,1.27,0.13,1.125,20,1.75,3.375,6.125,8.04,0,65,65,1.6375,5.2430000305176,-28.346814856083
0.035,1.27,0.13,1.125,20,1.75,3.375,6.125,8.04,0,65,65,1.6375,5.3200001716614,-28.224453409849
0.035,1.27,0.13,1.125,20,1.75,3.375,6.125,8.04,0,65,65,1.6375,5.3340001106262,-28.689956383186
0.035,1.27,0.13,1.125,20,1.75,3.375,6.125,8.04,0,65,65,1.6375,5.3410000801086,-28.673365978719
0.035,1.27,0.13,1.125,20,1.75,3.375,6.5,8.04,0,65,65,1.6375,5.1449999809265,-21.198987008775
0.035,1.27,0.13,1.125,20,1.75,3.375,6.5,8.04,0,65,65,1.6375,5.201000213623,-18.723329972415
0.035,1.27,0.13,1.125,20,1.75,3.375,6.5,8.04,0,65,65,1.6375,5.201000213623,-18.79521147377
0.035,1.27,0.13,1.125,20,1.75,3.375,6.5,8.04,0,65,65,1.6375,5.201000213623,-18.603461429569
0.035,1.27,0.13,1.125,20,1.75,3.75,5.375,8.04,0,65,65,1.6375,5.4250001907349,-36.68853456918
0.035,1.27,0.13,1.125,20,1.75,3.75,5.375,8.04,0,65,65,1.6375,5.5510001182556,-35.745988552365
0.035,1.27,0.13,1.125,20,1.75,3.75,5.375,8.04,0,65,65,1.6375,5.5859999656677,-32.093693190098
0.035,1.27,0.13,1.125,20,1.75,3.75,5.375,8.04,0,65,65,1.6375,5.6209998130798,-25.333469612013
0.035,1.27,0.13,1.125,20,1.75,3.75,5.75,8.04,0,65,65,1.6375,5.3689999580383,-34.798110582571
0.035,1.27,0.13,1.125,20,1.75,3.75,5.75,8.04,0,65,65,1.6375,5.4460000991821,-35.740341949147
0.035,1.27,0.13,1.125,20,1.75,3.75,5.75,8.04,0,65,65,1.6375,5.460000038147,-32.798057623906
0.035,1.27,0.13,1.125,20,1.75,3.75,5.75,8.04,0,65,65,1.6375,5.4879999160767,-28.30912621688
0.035,1.27,0.13,1.125,20,1.75,3.75,6.125,8.04,0,65,65,1.6375,5.2639999389648,-27.374260929146
0.035,1.27,0.13,1.125,20,1.75,3.75,6.125,8.04,0,65,65,1.6375,5.3060002326965,-28.325309992073
0.035,1.27,0.13,1.125,20,1.75,3.75,6.125,8.04,0,65,65,1.6375,5.3410000801086,-25.828171355339
0.035,1.27,0.13,1.125,20,1.75,3.75,6.125,8.04,0,65,65,1.6375,5.3410000801086,-26.46167063507
0.035,1.27,0.13,1.125,20,1.75,3.75,6.5,8.04,0,65,65,1.6375,5.1589999198914,-20.635881557365
0.035,1.27,0.13,1.125,20,1.75,3.75,6.5,8.04,0,65,65,1.6375,5.1939997673035,-20.277067449088
0.035,1.27,0.13,1.125,20,1.75,3.75,6.5,8.04,0,65,65,1.6375,5.201000213623,-19.105322117439
0.035,1.27,0.13,1.125,20,1.75,3.75,6.5,8.04,0,65,65,1.6375,5.2080001831055,-19.272656892775
0.035,1.27,0.13,1.125,20,1.75,4.125,5.375,8.04,0,65,65,1.6375,5.4039998054504,-23.832934882371
0.035,1.27,0.13,1.125,20,1.75,4.125,5.375,8.04,0,65,65,1.6375,5.558000087738,-31.388911416912
0.035,1.27,0.13,1.125,20,1.75,4.125,5.375,8.04,0,65,65,1.6375,5.5859999656677,-24.594035557152
0.035,1.27,0.13,1.125,20,1.75,4.125,5.375,8.04,0,65,65,1.6375,5.6209998130798,-24.177019687405
0.035,1.27,0.13,1.125,20,1.75,4.125,5.75,8.04,0,65,65,1.6375,5.3550000190735,-22.812054533543
0.035,1.27,0.13,1.125,20,1.75,4.125,5.75,8.04,0,65,65,1.6375,5.460000038147,-33.740876941387
0.035,1.27,0.13,1.125,20,1.75,4.125,5.75,8.04,0,65,65,1.6375,5.4670000076294,-26.958358991624
0.035,1.27,0.13,1.125,20,1.75,4.125,5.75,8.04,0,65,65,1.6375,5.4879999160767,-23.036573410083
0.035,1.27,0.13,1.125,20,1.75,4.125,6.125,8.04,0,65,65,1.6375,5.2430000305176,-28.343617634599
0.035,1.27,0.13,1.125,20,1.75,4.125,6.125,8.04,0,65,65,1.6375,5.3200001716614,-19.700093432757
0.035,1.27,0.13,1.125,20,1.75,4.125,6.125,8.04,0,65,65,1.6375,5.3340001106262,-17.478873897154
0.035,1.27,0.13,1.125,20,1.75,4.125,6.125,8.04,0,65,65,1.6375,5.3619999885559,-22.410714102473
0.035,1.27,0.13,1.125,20,1.75,4.125,6.5,8.04,0,65,65,1.6375,5.1170001029968,-22.135989167958
0.035,1.27,0.13,1.125,20,1.75,4.125,6.5,8.04,0,65,65,1.6375,5.1939997673035,-17.942333108562
0.035,1.27,0.13,1.125,20,1.75,4.125,6.5,8.04,0,65,65,1.6375,5.201000213623,-17.207303918629
0.035,1.27,0.13,1.125,20,1.75,4.125,6.5,8.04,0,65,65,1.6375,5.201000213623,-15.023546122609
0.035,1.27,0.13,1.125,20,1.75,4.5,5.375,8.04,0,65,65,1.6375,5.396999835968,-40.873392575902
0.035,1.27,0.13,1.125,20,1.75,4.5,5.375,8.04,0,65,65,1.6375,5.5300002098083,-35.888920793183
0.035,1.27,0.13,1.125,20,1.75,4.5,5.375,8.04,0,65,65,1.6375,5.558000087738,-31.945829063432
0.035,1.27,0.13,1.125,20,1.75,4.5,5.375,8.04,0,65,65,1.6375,5.5929999351501,-30.779881127787
0.035,1.27,0.13,1.125,20,1.75,4.5,5.75,8.04,0,65,65,1.6375,5.3340001106262,-32.196942365766
0.035,1.27,0.13,1.125,20,1.75,4.5,5.75,8.04,0,65,65,1.6375,5.4320001602173,-40.585809239531
0.035,1.27,0.13,1.125,20,1.75,4.5,5.75,8.04,0,65,65,1.6375,5.4460000991821,-31.707533426703
0.035,1.27,0.13,1.125,20,1.75,4.5,5.75,8.04,0,65,65,1.6375,5.4739999771118,-30.245034680057
0.035,1.27,0.13,1.125,20,1.75,4.5,6.125,8.04,0,65,65,1.6375,5.2290000915527,-25.65633519174
0.035,1.27,0.13,1.125,20,1.75,4.5,6.125,8.04,0,65,65,1.6375,5.3200001716614,-29.411288700501
0.035,1.27,0.13,1.125,20,1.75,4.5,6.125,8.04,0,65,65,1.6375,5.3340001106262,-30.700460065819
0.035,1.27,0.13,1.125,20,1.75,4.5,6.125,8.04,0,65,65,1.6375,5.3340001106262,-33.35717292198
0.035,1.27,0.13,1.125,20,1.75,4.5,6.5,8.04,0,65,65,1.6375,5.1240000724792,-17.982909779307
0.035,1.27,0.13,1.125,20,1.75,4.5,6.5,8.04,0,65,65,1.6375,5.2080001831055,-19.176264208739
0.035,1.27,0.13,1.125,20,1.75,4.5,6.5,8.04,0,65,65,1.6375,5.2080001831055,-21.0367803804
0.035,1.27,0.13,1.125,20,1.75,4.5,6.5,8.04,0,65,65,1.6375,5.201000213623,-21.754312563046
0.035,1.27,0.13,1.125,20,2.125,3.375,5.375,8.04,0,65,65,1.6375,5.4320001602173,-36.059308530086
0.035,1.27,0.13,1.125,20,2.125,3.375,5.375,8.04,0,65,65,1.6375,5.5650000572205,-37.980145742322
0.035,1.27,0.13,1.125,20,2.125,3.375,5.375,8.04,0,65,65,1.6375,5.5859999656677,-35.720531457833
0.035,1.27,0.13,1.125,20,2.125,3.375,5.375,8.04,0,65,65,1.6375,5.6209998130798,-41.579457607055
